ISO Week,Commits/week
2015-08,1104
2015-09,1631
2015-10,1634
2015-11,1649
2015-12,1543
2015-13,1642
2015-14,1566
2015-15,1180
2015-16,1565
2015-17,1149
2015-18,1634
2015-19,1489
2015-20,1440
2015-21,1574
2015-22,1474
2015-23,1679
2015-24,1474
2015-25,1540
2015-26,1326
2015-27,1015
2015-28,1327
2015-29,1499
2015-30,1337
2015-31,1701
2015-32,1437
2015-33,1246
2015-34,1537
2015-35,1131
2015-36,1312
2015-37,1181
2015-38,1616
2015-39,1602
2015-40,1747
2015-41,1560
2015-42,2068
2015-43,1597
2015-44,1507
2015-45,1779
2015-46,1125
2015-47,1639
2015-48,1120
2015-49,1604
2015-50,1500
2015-51,1413
2015-52,1167
2015-53,800
2016-01,1303
2016-02,1553
2016-03,1319
2016-04,1491
2016-05,1569
2016-06,1752
2016-07,1830
2016-08,2126
2016-09,1747
2016-10,1436
2016-11,1492
2016-12,1306
2016-13,1279
2016-14,1454
2016-15,1514
2016-16,1452
2016-17,1810
2016-18,1418
2016-19,1370
2016-20,1517
2016-21,1109
2016-22,1524
2016-23,1574
2016-24,1559
2016-25,1614
2016-26,1665
2016-27,1544
2016-28,1545
2016-29,1189
2016-30,1251
2016-31,1226
2016-32,1546
2016-33,1623
2016-34,1469
2016-35,1513
2016-36,1421
2016-37,1876
2016-38,1864
2016-39,1183
2016-40,1386
2016-41,1303
2016-42,1537
2016-43,1350
2016-44,1422
2016-45,1611
2016-46,1909
2016-47,1329
2016-48,1615
2016-49,1187
2016-50,1521
2016-51,1017
2016-52,579
2017-01,1209
2017-02,1559
2017-03,1644
2017-04,1749
2017-05,1683
2017-06,1800
2017-07,1463
2017-08,1588
2017-09,1459
2017-10,1587
2017-11,1602
2017-12,1686
2017-13,1732
2017-14,1835
2017-15,1419
2017-16,1511
2017-17,1336
2017-18,1291
2017-19,1422
2017-20,1688
2017-21,1477
2017-22,1438
2017-23,1909
2017-24,1683
2017-25,1599
2017-26,1520
2017-27,1475
2017-28,1528
2017-29,1756
2017-30,1438
2017-31,1677
2017-32,1733
2017-33,1902
2017-34,1840
2017-35,1777
2017-36,1372
2017-37,1039
2017-38,1522
2017-39,1419
2017-40,1394
2017-41,1923
2017-42,1857
2017-43,1412
2017-44,1839
2017-45,1629
2017-46,1610
2017-47,1041
2017-48,1550
2017-49,1604
2017-50,1417
2017-51,1490
2017-52,684
2018-01,1254
2018-02,1646
2018-03,1670
2018-04,1266
2018-05,1471
2018-06,1298
2018-07,1655
2018-08,1512
2018-09,1701
2018-10,1703
2018-11,1607
2018-12,1687
2018-13,1755
2018-14,1276
2018-15,1389
2018-16,1635
2018-17,1895
2018-18,1539
2018-19,1915
2018-20,1804
2018-21,1723
2018-22,1417
2018-23,1265
2018-24,1203
2018-25,1591
2018-26,1608
2018-27,1629
2018-28,1737
2018-29,1826
2018-30,1855
2018-31,1659
2018-32,1307
2018-33,1038
2018-34,1190
2018-35,1587
2018-36,1482
2018-37,1407
2018-38,1730
2018-39,1731
2018-40,1635
2018-41,1594
2018-42,1490
2018-43,1087
2018-44,1320
2018-45,1823
2018-46,1319
2018-47,1499
2018-48,1719
2018-49,1824
2018-50,2091
2018-51,1527
2018-52,663
2019-01,793
2019-02,1350
2019-03,1649
2019-04,1689
2019-05,1655
2019-06,1658
2019-07,1899
2019-08,1678
2019-09,1446
2019-10,1456
2019-11,1350
2019-12,1810
2019-13,1694
2019-14,1750
2019-15,1737
2019-16,1666
2019-17,1528
2019-18,1488
2019-19,1331
2019-20,1585
2019-21,1851
2019-22,1794
2019-23,1919
2019-24,1786
2019-25,1889
2019-26,1987
2019-27,1402
2019-28,1436
2019-29,1361
2019-30,1927
2019-31,1752
2019-32,1625
2019-33,1705
2019-34,1850
2019-35,1690
2019-36,1578
2019-37,1115
2019-38,1194
2019-39,1269
2019-40,1635
2019-41,1661
2019-42,1610
2019-43,1825
2019-44,1550
2019-45,2168
2019-46,1759
2019-47,1500
2019-48,1306
2019-49,1389
2019-50,2101
2019-51,1833
2019-52,690
2020-01,919
2020-02,1652
2020-03,1812
2020-04,1521
2020-05,1260
2020-06,1249
2020-07,1680
2020-08,1627
2020-09,1860
2020-10,1879
2020-11,1917
2020-12,1728
2020-13,2119
2020-14,1687
2020-15,1343
2020-16,1623
2020-17,1954
2020-18,2122
2020-19,2093
2020-20,1952
2020-21,1906
2020-22,2055
2020-23,1838
2020-24,1345
2020-25,1744
2020-26,1740
2020-27,2151
2020-28,1859
2020-29,2275
2020-30,2247
2020-31,1553
2020-32,1497
2020-33,1240
2020-34,1811
2020-35,1692
2020-36,1816
2020-37,1904
2020-38,2171
2020-39,2165
2020-40,1902
2020-41,1310
2020-42,1521
2020-43,1227
2020-44,1768
2020-45,1996
2020-46,1985
2020-47,2068
2020-48,1801
2020-49,1868
2020-50,1863
2020-51,1688
2020-52,659
2020-53,524
2021-01,1424
2021-02,2037
2021-03,2012
2021-04,1698
2021-05,1875
2021-06,1669
2021-07,1189
2021-08,1632
2021-09,1713
2021-10,2084
2021-11,2098
2021-12,2079
2021-13,1887
2021-14,2053
2021-15,1831
2021-16,1496
2021-17,1474
2021-18,1494
2021-19,1679
2021-20,1853
2021-21,1702
2021-22,1900
2021-23,2162
2021-24,2090
2021-25,1711
2021-26,1426
2021-27,955
2021-28,1466
2021-29,1385
2021-30,1740
2021-31,1666
2021-32,1685
2021-33,1653
2021-34,1321
2021-35,1445
2021-36,1409
2021-37,1702
2021-38,1599
2021-39,1639
2021-40,1627
2021-41,1948
2021-42,2023
2021-43,1632
2021-44,1559
2021-45,1301
2021-46,1674
2021-47,1602
2021-48,1787
2021-49,1805
2021-50,1752
2021-51,1274
2021-52,740
2022-01,1318
2022-02,1457
2022-03,1425
2022-04,1978
2022-05,1522
2022-06,1806
2022-07,1887
2022-08,1902
2022-09,1641
2022-10,1697
2022-11,1334
2022-12,1648
2022-13,1478
2022-14,1819
2022-15,1799
2022-16,1862
2022-17,1951
2022-18,1869
2022-19,1958
2022-20,1921
2022-21,1341
2022-22,1379
2022-23,1922
2022-24,1823
2022-25,1818
2022-26,1638
2022-27,1861
2022-28,2054
2022-29,1434
2022-30,1364
2022-31,1209
2022-32,1139
2022-33,1616
2022-34,1588
2022-35,1794
2022-36,2006
2022-37,1723
2022-38,2042
2022-39,2024
2022-40,1169
2022-41,1334
2022-42,1839
2022-43,1912
2022-44,1854
2022-45,1843
2022-46,2696
2022-47,1767
2022-48,1824
2022-49,1527
2022-50,1228
2022-51,912
2022-52,781
2023-01,1433
2023-02,2051
2023-03,2155
2023-04,1931
2023-05,1767
2023-06,1722
2023-07,1624
2023-08,1131
2023-09,1502
2023-10,2292
2023-11,2207
2023-12,2118
2023-13,1721
2023-14,1756
2023-15,1718
2023-16,1603
2023-17,1104
2023-18,1152
2023-19,1370
2023-20,1808
2023-21,1671
2023-22,1835
2023-23,2036
2023-24,1987
2023-25,1581
2023-26,1236
2023-27,1453
2023-28,1718
2023-29,1663
2023-30,1913
2023-31,2149
2023-32,2326
2023-33,1667
2023-34,1692
2023-35,1308
2023-36,1092
2023-37,2157
2023-38,1985
2023-39,1695
2023-40,1781
2023-41,1703
2023-42,1917
2023-43,1564
2023-44,1211
2023-45,1163
2023-46,1291
2023-47,1639
2023-48,1887
2023-49,2030
2023-50,2017
2023-51,1770
2023-52,569
2024-01,993
2024-02,1247
2024-03,1193
2024-04,1971
2024-05,2085
2024-06,1627
2024-07,2179
2024-08,2093
2024-09,1642
2024-10,1773
2024-11,1242
2024-12,1294
2024-13,1878
2024-14,1848
2024-15,1905
2024-16,1676
2024-17,1988
2024-18,1769
2024-19,1555
2024-20,1053
2024-21,1139
2024-22,1710
2024-23,1622
2024-24,1597
2024-25,1725
2024-26,1555
2024-27,1339
2024-28,967
2024-29,607
2024-30,403
2024-31,327
2024-32,337
2024-33,288
2024-34,298
2024-35,224
2024-36,147
2024-37,42
