ISO Week,src,src_humans
2009-45,866,866
2009-46,922,922
2009-47,830,830
2009-48,483,483
2009-49,803,803
2009-50,732,732
2009-51,779,779
2009-52,320,320
2009-53,226,226
2010-01,685,685
2010-02,787,787
2010-03,788,788
2010-04,760,760
2010-05,762,762
2010-06,741,741
2010-07,681,681
2010-08,768,768
2010-09,757,757
2010-10,818,818
2010-11,844,844
2010-12,967,967
2010-13,910,910
2010-14,913,913
2010-15,778,778
2010-16,871,871
2010-17,862,862
2010-18,866,866
2010-19,888,888
2010-20,863,863
2010-21,738,738
2010-22,655,655
2010-23,826,826
2010-24,965,965
2010-25,943,943
2010-26,948,948
2010-27,886,886
2010-28,1250,1250
2010-29,943,943
2010-30,1026,1026
2010-31,1095,1095
2010-32,969,969
2010-33,1007,1007
2010-34,1160,1160
2010-35,1081,1081
2010-36,946,946
2010-37,948,948
2010-38,1008,1008
2010-39,1123,1123
2010-40,1112,1112
2010-41,974,974
2010-42,1001,1001
2010-43,1117,1117
2010-44,995,995
2010-45,1033,1033
2010-46,1077,1077
2010-47,730,730
2010-48,1098,1098
2010-49,902,902
2010-50,961,961
2010-51,712,712
2010-52,335,335
2011-01,788,788
2011-02,999,999
2011-03,1121,1121
2011-04,1153,1153
2011-05,1214,1214
2011-06,1171,1171
2011-07,1209,1209
2011-08,1157,1157
2011-09,1312,1312
2011-10,1212,1212
2011-11,1209,1209
2011-12,1021,1021
2011-13,1311,1311
2011-14,1229,1229
2011-15,1403,1403
2011-16,1335,1335
2011-17,1303,1303
2011-18,1198,1198
2011-19,1123,1123
2011-20,1092,1092
2011-21,1339,1339
2011-22,1007,1007
2011-23,1085,1085
2011-24,1173,1173
2011-25,1250,1250
2011-26,1283,1283
2011-27,782,782
2011-28,1168,1168
2011-29,1244,1244
2011-30,1194,1194
2011-31,1109,1109
2011-32,1076,1076
2011-33,1076,1076
2011-34,1167,1167
2011-35,1317,1317
2011-36,1197,1197
2011-37,1309,1309
2011-38,1191,1191
2011-39,1232,1232
2011-40,1360,1360
2011-41,1404,1404
2011-42,1462,1462
2011-43,1338,1338
2011-44,1243,1243
2011-45,1517,1517
2011-46,1590,1590
2011-47,1037,1037
2011-48,1822,1822
2011-49,1349,1349
2011-50,1369,1369
2011-51,1099,1099
2011-52,433,433
2012-01,1046,1046
2012-02,1341,1341
2012-03,1108,1108
2012-04,1423,1423
2012-05,1239,1239
2012-06,1558,1558
2012-07,1513,1513
2012-08,1521,1521
2012-09,1626,1626
2012-10,1558,1558
2012-11,1849,1849
2012-12,2038,2038
2012-13,1756,1756
2012-14,1615,1615
2012-15,1433,1433
2012-16,1409,1409
2012-17,1613,1613
2012-18,1546,1546
2012-19,1559,1559
2012-20,1634,1634
2012-21,1666,1666
2012-22,1513,1513
2012-23,1499,1499
2012-24,1703,1703
2012-25,1500,1500
2012-26,1522,1522
2012-27,807,807
2012-28,1497,1497
2012-29,1492,1492
2012-30,1609,1609
2012-31,1608,1608
2012-32,1549,1549
2012-33,1442,1442
2012-34,1602,1602
2012-35,1613,1613
2012-36,1353,1353
2012-37,1906,1906
2012-38,1501,1501
2012-39,1535,1535
2012-40,1447,1447
2012-41,1626,1626
2012-42,1831,1831
2012-43,1833,1833
2012-44,1676,1676
2012-45,1694,1694
2012-46,1950,1950
2012-47,1357,1357
2012-48,1680,1680
2012-49,1779,1779
2012-50,1861,1861
2012-51,1540,1540
2012-52,339,339
2013-01,703,703
2013-02,1621,1621
2013-03,1613,1613
2013-04,1538,1538
2013-05,1724,1724
2013-06,1793,1793
2013-07,1760,1760
2013-08,1586,1586
2013-09,1780,1780
2013-10,1751,1751
